id,name,customer_type,risk_rating,country,kyc_status,pep_status,registration_date,country_risk_level,account_count,transaction_count,total_volume_usd,total_alerts,max_alert_score,avg_alert_score
1358,Brian Simmons,individual,3,NL,verified,0,2019-11-15,1,3,69,54287.73,13,62.0,62.0
435,Michael Miller,individual,3,IN,verified,0,2023-01-01,2,3,69,64701.52,11,62.0,61.15
1413,Daniel Carpenter,individual,3,KE,verified,0,2017-04-06,3,4,92,63594.5,11,62.0,61.15
644,Joshua Wagner,individual,3,DE,verified,0,2019-06-23,1,3,69,71285.97,10,62.0,60.34
1460,Eric Gutierrez,individual,3,AU,pending,0,2019-05-10,1,4,92,63763.99,10,62.0,62.0
893,Joshua Jensen,individual,3,FR,pending,1,2016-07-11,1,3,69,71016.58,9,62.0,61.29
1039,Kathryn Lester,individual,3,BR,verified,0,2016-07-17,2,4,92,158164.74,9,62.0,60.84
1127,Jessica Mcdaniel,individual,3,JP,pending,0,2017-07-30,1,4,92,104191.36,9,62.0,59.91
1855,Heather Miller,individual,2,AE,verified,0,2021-03-11,2,2,47,1570354.74,9,62.0,54.5
240,Eric Powell,individual,3,KE,verified,0,2014-03-13,3,4,92,82854.68,8,62.0,60.7
328,Zachary Wilson,individual,3,VN,verified,0,2022-10-04,3,3,69,60544.75,8,62.0,60.44
944,Randy Hayes,individual,3,VN,verified,0,2017-05-20,3,2,46,28669.2,8,62.0,62.0
1718,Patel-Mejia,business,3,CA,verified,1,2018-06-09,1,1,71,49706.44,8,62.0,62.0
26,Thomas Ellis,individual,3,TH,failed,0,2020-12-19,3,3,69,57988.11,7,62.0,58.93
443,Kimberly Rodgers,individual,3,GB,failed,0,2023-02-23,1,2,46,20341.12,7,62.0,62.0
633,Ian Young,individual,3,GB,verified,1,2022-04-28,1,2,46,84911.7,7,62.0,59.46
1073,Cassandra Harrell,individual,3,AE,verified,1,2018-01-15,2,3,69,70944.76,7,62.0,62.0
1125,Rodney Evans,individual,3,KE,verified,0,2019-11-07,3,2,46,21228.93,7,62.0,62.0
1312,Mr. Daniel Freeman,individual,3,CH,verified,1,2023-11-12,1,4,92,82975.64,7,62.0,62.0
1432,Christina Johnston,individual,3,AU,verified,0,2019-04-20,1,2,46,46666.66,7,62.0,62.0
78,Brooke Yu,individual,3,NO,verified,0,2020-10-15,1,2,23,8430.59,6,62.0,62.0
136,Daniel Kennedy,individual,3,GB,verified,0,2022-12-17,1,4,92,70115.82,6,62.0,62.0
519,Austin Daniels,individual,3,IN,verified,0,2022-05-24,2,2,23,14289.45,6,62.0,62.0
842,Michael Poole,individual,3,GB,verified,0,2023-01-31,1,3,69,70904.2,6,62.0,62.0
1057,Amber Alvarez,individual,3,IN,verified,0,2017-09-17,2,3,69,104064.07,6,62.0,60.77
1097,Nicholas Walker,individual,3,SG,verified,1,2020-03-24,1,3,69,64195.67,6,62.0,62.0
1204,Robert Garcia,individual,3,IN,pending,0,2019-05-22,2,2,23,16889.19,6,62.0,62.0
1422,Brittany Shaffer,individual,3,JP,failed,0,2023-07-26,1,3,46,53467.39,6,62.0,59.39
1456,Melissa Thompson,individual,3,NL,verified,1,2019-03-10,1,2,46,50897.88,6,62.0,60.27
1483,Danielle James,individual,3,KE,verified,1,2014-08-09,3,4,69,39157.37,6,62.0,62.0
1558,Walters Ltd,business,3,AE,verified,0,2014-03-11,2,1,71,504531.55,6,62.0,55.87
1578,Anthony Rush,individual,3,JP,verified,0,2022-02-27,1,4,92,73585.15,6,62.0,62.0
1665,Melissa Larson,individual,3,US,verified,1,2015-12-29,1,2,46,31960.3,6,62.0,62.0
1842,April Johnson,individual,3,IN,pending,0,2020-05-20,2,3,46,31256.53,6,62.0,62.0
1926,Nicholas Dodson,individual,3,PK,verified,0,2019-10-08,3,4,92,114824.82,6,62.0,59.23
431,David York,individual,3,NG,verified,0,2016-03-06,3,3,69,59531.15,5,62.0,62.0
624,Jimmy Scott,individual,3,BR,verified,0,2021-11-28,2,4,92,86615.39,5,62.0,59.92
673,Thomas Johnston,individual,3,PK,verified,0,2019-06-26,3,2,46,25873.96,5,62.0,60.75
1008,Jason Jackson,individual,3,SE,verified,0,2020-10-03,1,1,23,67634.96,5,62.0,57.2
1153,Dylan Solis,individual,3,NG,pending,0,2023-08-05,3,2,46,21728.9,5,62.0,62.0
1596,Patrick Smith DDS,individual,3,PK,verified,0,2014-01-20,3,4,69,43720.96,5,62.0,62.0
1607,Ellen Thornton,individual,3,PK,verified,1,2019-04-20,3,2,23,19031.05,5,62.0,62.0
1889,Rachel Bailey,individual,3,IN,verified,0,2016-08-07,2,3,69,52826.06,5,62.0,62.0
1914,Robert Cisneros,individual,3,HK,verified,0,2017-02-19,2,1,23,30970.31,5,62.0,62.0
1979,Keith Meadows,individual,3,AU,verified,0,2021-08-27,1,3,69,47253.12,5,62.0,62.0
12,Kimberly Dudley,individual,3,IN,verified,0,2022-02-04,2,3,69,68717.26,4,62.0,59.4
42,Paula Moreno,individual,3,TR,verified,0,2022-10-25,2,3,46,31649.23,4,62.0,62.0
52,Jacqueline Lam,individual,3,SE,pending,1,2023-01-08,1,2,23,21475.1,4,62.0,62.0
143,Michelle Cruz,individual,3,ZA,verified,0,2018-01-14,2,4,69,62538.43,4,62.0,62.0
170,Alyssa Day,individual,3,AE,verified,1,2014-10-18,2,2,46,37044.88,4,62.0,62.0
195,Mr. Nicholas Adams,individual,3,AR,verified,0,2021-05-15,2,2,46,39032.03,4,62.0,62.0
257,Anthony Adams,individual,3,SE,verified,0,2014-09-28,1,1,23,11937.74,4,62.0,62.0
352,Mary Turner,individual,3,IN,verified,0,2020-05-02,2,1,23,12432.2,4,62.0,62.0
409,Robin Young,individual,3,JP,verified,0,2023-01-13,1,3,46,49587.55,4,62.0,59.65
739,Patrick Reed,individual,3,SG,pending,0,2014-06-18,1,2,46,32041.26,4,62.0,62.0
779,Sheila Barnes,individual,3,SG,verified,0,2019-11-27,1,1,23,16827.91,4,62.0,62.0
873,Matthew Alexander,individual,3,DE,verified,0,2014-05-16,1,2,46,22492.15,4,62.0,62.0
1146,Melissa Castillo,individual,3,US,expired,0,2019-12-14,1,4,69,62190.89,4,62.0,62.0
1289,Matthew Garcia,individual,3,CA,verified,0,2017-01-27,1,2,46,49292.05,4,62.0,62.0
1316,Amanda Wong,individual,3,HK,verified,0,2023-09-28,2,2,46,26032.36,4,62.0,62.0
1601,James Taylor,individual,3,IN,verified,0,2018-11-20,2,2,23,19791.1,4,62.0,62.0
1700,Bruce Patton,individual,3,AR,verified,0,2017-03-12,2,4,69,46298.23,4,62.0,62.0
1725,Allen Berger,individual,3,CA,verified,1,2019-09-22,1,2,46,99094.76,4,62.0,58.05
1731,Angela Livingston,individual,3,SG,verified,0,2022-10-25,1,1,23,12676.77,4,62.0,62.0
1736,Jack White,individual,3,CH,pending,0,2022-03-31,1,3,69,64937.62,4,62.0,62.0
1888,Jonathan Clements,individual,3,TH,verified,0,2023-07-16,3,2,46,33432.61,4,62.0,62.0
1927,Edward Holland,individual,3,KE,failed,0,2018-12-31,3,3,46,48311.4,4,62.0,62.0
342,Robin Hall,individual,3,AE,verified,0,2023-04-12,2,2,46,33813.85,3,62.0,62.0
357,Lauren Joseph,individual,3,IN,verified,0,2023-03-08,2,2,46,40553.21,3,62.0,62.0
460,Gregory Johnson,individual,3,CA,verified,0,2016-05-23,1,1,23,18239.8,3,62.0,59.92
478,Rachel Romero,individual,3,CH,verified,0,2016-09-21,1,1,23,15919.77,3,62.0,62.0
736,Lacey Atkinson,individual,3,AE,verified,0,2020-06-29,2,4,92,72587.24,3,62.0,62.0
754,Alexandria Gutierrez,individual,3,JP,verified,0,2023-02-14,1,3,46,38646.68,3,62.0,62.0
780,Warren Miles,individual,3,CA,expired,0,2016-03-15,1,2,46,47379.31,3,62.0,59.53
812,Bruce Brooks,individual,3,MX,verified,0,2020-08-24,2,1,23,22368.1,3,62.0,62.0
954,Courtney Gonzalez,individual,3,FR,verified,0,2018-07-30,1,1,23,48117.77,3,62.0,58.53
959,Ryan Lamb,individual,3,DE,verified,0,2014-05-30,1,1,23,42810.48,3,62.0,58.87
988,Sarah Morris,individual,3,AU,verified,1,2018-08-12,1,2,46,35173.89,3,62.0,62.0
1090,Shannon Green,individual,3,CH,expired,1,2017-08-19,1,2,46,32904.61,3,62.0,62.0
1129,Carmen Meadows,individual,3,MA,verified,0,2018-12-01,3,2,46,50266.83,3,62.0,62.0
1148,Kenneth Snyder,individual,3,NL,verified,0,2023-11-26,1,2,46,31776.47,3,62.0,62.0
1300,Stephen Jones,individual,3,TR,verified,0,2021-05-04,2,1,23,11020.23,3,62.0,62.0
1396,Samantha Jones,individual,3,CH,verified,0,2020-01-08,1,4,69,76050.23,3,62.0,58.87
1450,Matthew Mcclure,individual,3,US,verified,0,2015-10-09,1,1,23,6944.86,3,62.0,62.0
1532,Pamela Ray,individual,3,GB,verified,0,2016-05-02,1,1,23,41575.69,3,62.0,62.0
1549,"Wright, Scott and Evans",business,3,MX,verified,0,2014-04-15,2,3,71,52957.45,3,62.0,62.0
1933,Steven Cook,individual,3,CA,verified,0,2022-05-23,1,2,46,38385.34,3,62.0,62.0
1978,Veronica Berry,individual,3,US,expired,0,2023-01-30,1,3,46,28196.51,3,62.0,62.0
101,Kristina Rodriguez,individual,3,VN,pending,0,2019-02-19,3,1,23,21957.32,2,62.0,62.0
122,Nicholas Edwards,individual,3,TR,verified,0,2015-11-12,2,2,23,16245.01,2,62.0,62.0
165,Stephanie Freeman,individual,3,IN,verified,1,2017-06-20,2,1,23,16660.93,2,62.0,62.0
168,John Anderson,individual,3,IN,verified,0,2022-11-24,2,1,23,17036.74,2,62.0,62.0
291,Ian Jordan,individual,3,CA,verified,0,2018-01-16,1,1,23,32471.28,2,62.0,62.0
415,John Welch,individual,3,AR,verified,0,2014-01-26,2,1,23,10674.21,2,62.0,62.0
463,Timothy Combs,individual,3,JP,verified,0,2017-08-12,1,2,46,33062.16,2,62.0,62.0
508,Travis Johnson,individual,3,AU,verified,0,2018-12-07,1,2,23,8958.94,2,62.0,62.0
